Group	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S2	BM-S2	BM-S2	BM-S2	BM-S2	BM-S2	BM-S2	BM-S3	BM-S3	BM-S3	BM-S3	BM-S3	BM-S3	BM-S4	BM-S4	BM-S4	BM-S4	BM-S4	BM-S4	BM-S5	BM-S5	BM-S5	BM-S5	BM-S5	BM-S5	BM-S6	BM-S6	BM-S6	BM-S6	BM-S6	BM-S6
2-METHYLMALEATE	0.495348601	0.42719724	0.481775523	0.436267056	0.757333567	0.618973919	0.620587818	0.261965473	0.262694668	0.200952424	0.175496255	0.494155174	0.489162012	0.362174604	0.3311255	0.247636696	0.219514831	0.284223565	0.301015099	0.916506585	1.099181992	0.984311424	0.883120866	0.723207789	1.393671345	1.175453393	0.743418199	0.809386877	0.489090969	0.850455977	0.327852669	0.338237499	1.101581165	0.487812438	0.543452377	0.496421384	1.349615114	0.311454394	0.373248073	0.489103163	0.81666845	0.432718478	0.497444835	0.387255333	0.998146077	1.243212312	1.047317469	1.022860083	0.335132354	0.670551406	0.966743819	1.271272303	1.617946248	1.39570615	1.037164038	1.118849123
"3-(3,4,5-Trimethoxyphenyl)propanoic acid"	0.17205527	0.373900091	0.339036586	0.389972099	0.680957724	0.473720364	0.415681065	0.176999695	0.22130054	0.142949283	0.14719334	0.326164663	0.389028502	0.269611095	0.341472906	0.486133349	0.223620801	0.16686882	0.05196368	1.753387743	0.583723562	0.662888695	0.928132355	0.509353057	1.562514589	0.531602255	0.385596175	0.817208685	1.001282574	0.42163316	0.293825039	0.440300824	0.849846654	0.441588592	0.394272835	0.749601387	0.002805435	0.345371029	0.762259248	0.41808245	0.116997871	0.659135243	0.074494318	0.427170237	2.262819988	1.56318308	1.644272963	0.3515651	0.548294569	0.823352574	1.621935439	1.08360995	0.662367863	1.008657448	1.377983989	0.629549576
"3,4-DIHYDROXYBENZOATE"	0.000169942	0.004218777	0.000132145	0.00012181	0.0132449	0.001631018	0.000201283	9.09E-05	8.45E-05	6.76E-05	5.49E-05	0.000147044	0.015347916	0.000127258	0.011401224	0.82075387	0.001035129	0.000781578	0.000876685	0.002988066	0.002768993	2.994242941	0.060673743	2.938920998	0.000405259	0.002231592	0.001839843	1.797699153	1.748442505	0.00176022	0.000902639	0.000832448	0.002520511	0.002012997	0.001303488	0.001507914	0.021618167	0.001236846	0.001512237	0.679055544	0.002186171	0.001487823	0.001332907	0.001262618	0.004158949	3.121377846	0.003555802	0.002630333	0.001507466	0.001526745	0.002765425	3.517017217	0.003576193	0.002941821	11.22321898	0.003990705
3-HYDROXYPHENYLACETATE	0.627336163	0.652998936	0.053756096	0.023526163	0.021790554	0.000112672	0.107485878	0.019974128	0.026325106	0.012595536	0.007334533	0.009815249	0.018306764	0.357394553	0.030757362	1.158059372	0.262201766	0.269065533	0.245747581	1.024024613	0.843078561	1.132896826	0.744653373	0.740588707	1.51475792	0.578881261	0.45069307	0.798160358	0.45127506	0.558224896	0.193758904	0.230014712	0.637769827	1.032149059	0.408389232	0.513219791	1.068949385	0.323311348	0.778171175	0.481754383	0.924013416	0.449037359	1.023378201	0.456913119	0.335830918	1.252016017	1.192040522	0.250910402	0.415730103	0.542897391	0.822411136	1.842144891	1.139164874	1.442036202	4.980335989	1.287838523
3-Hydroxysebacic acid	0.004031969	0.003143623	2.570509637	0.002890005	0.004785183	0.004861413	0.004775554	0.00215727	0.002004706	0.001604064	0.001303481	0.0034887	0.003772866	1.029774391	0.002323589	0.000553833	0.768156006	0.000374469	0.000420036	2.997587356	0.001326677	0.001085967	0.00803752	0.007081447	2.984881034	0.001069198	2.517392442	0.001677957	0.00120375	0.032433231	0.748489201	0.000398842	0.279015486	0.33299333	0.000624526	0.802768978	3.17682073	1.50752713	2.557604629	0.000682275	0.001047436	0.000712844	0.908579642	0.194314484	0.001992631	0.00185033	0.001703652	0.001260242	0.675926615	0.000731493	0.001324968	5.086554485	0.001713422	0.001409482	9.934826994	0.001912023
3-SULFINOALANINE	0.809283024	0.577610829	0.68438286	0.371280001	0.17531319	0.358161555	0.302861262	0.508196183	0.520658446	1.109873413	0.715958384	0.896899352	0.73988028	0.662437306	0.633953886	1.619046007	1.011896305	1.597837877	2.386444936	1.475777261	1.277170278	0.247052461	1.477977554	0.614240227	0.907782219	0.44617902	0.680921924	0.000380908	0.29689598	0.373786677	0.892341795	0.535774518	0.000274139	0.00021894	0.846835095	0.484517768	0.00044482	0.352905897	0.389848418	0.770720069	0.712797418	0.110960019	0.863651115	0.278079639	1.377283521	0.000420038	0.027855718	0.000286084	0.279610267	0.224536769	1.493421476	2.314223829	0.000388959	0.000319962	0.000536193	0.326615619
4-ACETYLBUTYRATE	0.112458554	0.081803301	0.121752824	0.421545641	0.220475811	0.374555538	0.196054971	0.019334364	0.143096727	0.074103015	0.065123941	0.418730345	0.000192692	0.123166857	0.016534246	3.11E-05	2.79E-05	2.10E-05	0.364725078	8.05E-05	1.60865874	1.391260796	1.070238283	0.899049185	1.030712532	1.947078519	0.754910746	9.43E-05	0.789266447	1.719941615	0.233505445	0.508329004	2.841683345	1.310029919	0.959422764	1.042423505	0.613842928	0.65585817	0.998092369	0.746882592	2.160628613	1.808301443	0.999194235	1.135994279	1.29705004	1.863371148	2.748847811	1.302259673	0.764906933	1.671582464	2.523922516	3.353135419	21.48134054	0.393652295	0.000132755	0.000107464
4-GUANIDINOBUTANOATE	0.30810547	0.28565101	0.171673378	0.184592245	0.339740796	0.277700797	0.180726181	0.170899935	0.132505192	0.1660897	0.136695918	0.237745892	0.338321257	0.508698997	0.266205369	0.332105798	0.19516106	0.288089642	0.477161511	1.215713821	0.949335379	0.8349508	0.994445386	0.760441498	1.245113116	0.473946359	0.946435251	0.479599969	0.929639242	0.88674992	0.433419797	0.543516224	1.292282426	1.229773763	1.705481011	0.52085962	1.439827172	0.818902516	1.839269322	0.301375041	0.89259913	0.439966439	0.583636148	0.408440782	0.994809241	1.153074943	0.621440376	0.999559639	1.012303447	0.463635691	0.972883108	0.733834689	0.987375814	0.811005225	1.294351015	1.250443175
4-HYDROXYBENZALDEHYDE	0.489040256	0.381292149	0.380273806	0.350530691	0.580398088	0.589644149	0.579230273	0.261656754	0.243152184	0.194558054	0.158100166	0.423146869	0.45761358	0.366209708	0.281829764	5.84E-05	5.23E-05	3.95E-05	0.30761927	0.000150905	1.249234915	1.75061418	0.974876296	0.858913549	1.166210155	1.822375392	1.556950999	0.000176869	1.321878224	2.541394617	1.161971	1.258075128	7.519399744	3.85951323	2.030196831	1.678564813	3.387283161	1.095403428	3.873604094	0.62074649	2.137432933	5.839195467	1.321979632	1.125037495	12.98398547	1.48575068	18.38223163	1.417969938	2.044945639	1.8123362	16.37240974	5.700638921	5.255189636	0.00014857	0.000248973	0.000201541
4-HYDROXYBENZOATE	0.008259151	0.041440258	0.048975116	0.028874778	0.018245619	0.044434814	0.055433169	6.04E-05	0.002374491	0.009499737	3.65E-05	0.008847814	0.000105677	8.46E-05	0.043549442	0.588166905	0.311188481	0.203730293	0.145699274	0.819251643	1.273050939	0.907697418	0.68018374	1.34321288	0.97660338	0.781201285	0.295007147	1.340457123	0.290120124	0.268264392	0.142678474	0.258191401	1.515969929	0.615939191	0.291303242	0.428678753	0.827968414	0.314485441	0.568862815	0.420878412	0.712954831	0.292427589	0.215388919	0.43680453	0.983011924	1.182702468	0.895861609	0.923644193	0.459352615	0.420949523	0.576919575	0.696049266	0.528929518	0.31651988	0.34947406	0.240579129
4-HYDROXYPHENYLPYRUVATE	0.489040256	0.381292149	0.380273806	0.350530691	0.580398088	0.589644149	0.579230273	0.261656754	0.243152184	0.194558054	0.158100166	0.423146869	0.45761358	0.366209708	0.281829764	4.96E-05	4.44E-05	3.35E-05	0.233480292	0.000128098	1.231204005	1.768667897	0.974876296	0.858913549	1.166210155	0.579525658	1.797837444	0.000150138	1.730173884	1.271984868	0.237969335	1.052454681	6.990940178	2.879237132	1.72551661	1.786409195	3.050514669	0.951735731	2.924496892	0.891935411	0.925494652	5.116763624	0.815954491	1.225329677	10.88557169	2.442288942	15.49078415	1.983933646	1.738550855	1.124818916	13.55378358	3.287715946	4.671455972	0.000126115	0.000211344	0.000171081
4-QUINOLINECARBOXYLATE	0.227007297	0.19906456	0.20240437	0.137249518	0.243230078	0.216644059	0.192296125	0.108663123	0.111424942	0.09807064	0.074788138	0.200696073	0.167751743	0.094846379	0.11815619	0.456260764	0.345308345	0.286054103	0.416585662	0.844732946	1.437388531	0.717878523	0.975882444	0.891506875	1.132610681	0.744934671	0.95122107	1.434536029	0.313113957	0.632484634	0.371103884	0.388547301	1.147876044	0.895142703	0.406328645	0.578011265	1.39466289	0.440704858	0.623102041	0.507690669	0.960463975	0.713913169	0.644230628	0.598659484	2.122648724	1.193294071	1.968187251	0.918196383	0.463091407	0.716016261	1.490756601	1.259099427	1.298174594	1.304539792	2.007086083	1.826388629
6-CARBOXYHEXANOATE	5.51E-05	0.013224378	0.020262996	0.14167808	6.54E-05	6.64E-05	6.52E-05	2.95E-05	2.74E-05	0.0272313	0.023536973	4.77E-05	5.15E-05	0.261675581	0.082319233	0.73772935	0.262350686	0.103222629	3.25E-05	0.871350907	0.000102652	2.128546442	0.709714757	0.710863287	1.579421956	1.555133007	0.115584817	0.000129832	1.155168597	0.929182115	3.35E-05	0.215134832	1.591535999	0.098867108	4.83E-05	5.59E-05	1.031296103	0.601676955	1.116132259	5.28E-05	0.294794942	0.510140982	0.239679795	0.719059411	0.00015418	4.118518226	0.00013182	1.182347938	1.114127659	5.66E-05	0.000102519	0.565952881	3.380972029	0.618800896	0.00018276	0.000147943
